m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.5000000E+000, 7.9121244E+002, 5.0000000E-001, 2.0255608E+000, 5.5168235E+001, 5.0000000E-002, 8.3564709E+002
 2.0000000E+000, 7.6050389E+002, 1.0000000E+000, 2.3827953E+000, 5.1956897E+001, 1.5000000E-001, 4.7332289E+002
 2.4990000E+000, 7.3946636E+002, 1.5000000E+000, 1.8842075E+000, 5.0166006E+001, 2.5000000E-001, 2.1574352E+002
 3.0000000E+000, 6.8125660E+002, 2.0000000E+000, 2.0691886E+000, 4.7146861E+001, 3.5000000E-001, 1.2239123E+002
 3.5000000E+000, 6.2560852E+002, 3.0000000E+000, 2.0201188E+000, 3.6407411E+001, 4.5000000E-001, 9.0924454E+001
 4.0000000E+000, 5.6829825E+002, 4.0000000E+000, 1.9775144E+000, 2.2099662E+001, 5.5000000E-001, 7.8929774E+001
 4.5000000E+000, 5.0576621E+002,NaN,NaN,NaN, 6.5000000E-001, 7.3696732E+001
 4.9990000E+000, 4.4279957E+002,NaN,NaN,NaN, 7.5000000E-001, 7.1268013E+001
 5.5000000E+000, 3.4839959E+002,NaN,NaN,NaN, 8.5000000E-001, 7.0122392E+001
NaN,NaN,NaN,NaN,NaN, 9.5000000E-001, 6.9696860E+001
NaN,NaN,NaN,NaN,NaN, 1.0500000E+000, 6.9501463E+001
NaN,NaN,NaN,NaN,NaN, 1.1500000E+000, 6.9450631E+001
NaN,NaN,NaN,NaN,NaN, 1.2500000E+000, 6.9484334E+001
NaN,NaN,NaN,NaN,NaN, 1.3500000E+000, 6.9357609E+001
NaN,NaN,NaN,NaN,NaN, 1.4500000E+000, 6.9260402E+001
NaN,NaN,NaN,NaN,NaN, 1.5500000E+000, 6.9043329E+001
NaN,NaN,NaN,NaN,NaN, 1.6500000E+000, 6.8932448E+001
NaN,NaN,NaN,NaN,NaN, 1.7500000E+000, 6.8977427E+001
NaN,NaN,NaN,NaN,NaN, 1.8500000E+000, 6.8824306E+001
NaN,NaN,NaN,NaN,NaN, 1.9500000E+000, 6.8824360E+001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 6.8591868E+001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 6.8223129E+001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 6.7973465E+001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 6.7430718E+001
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 6.6786821E+001
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 6.5913635E+001
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 6.4798569E+001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 6.3728505E+001
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 6.2589956E+001
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 6.1167085E+001
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 5.9708083E+001
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 5.8362872E+001
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 5.7006702E+001
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 5.5349554E+001
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 5.3659682E+001
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 5.1845164E+001
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 4.9841801E+001
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 4.7894585E+001
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 4.5633344E+001
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 4.2974075E+001
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 4.0531865E+001
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 3.8147390E+001
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 3.5682422E+001
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 3.3296505E+001
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 3.0878851E+001
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 2.8482720E+001
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 2.6115234E+001
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 2.3749251E+001
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 2.1607016E+001
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 1.9591858E+001
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 1.7744699E+001
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 1.5991015E+001
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 1.4319813E+001
NaN,NaN,NaN,NaN,NaN, 5.3500000E+000, 1.2750232E+001
NaN,NaN,NaN,NaN,NaN, 5.4500000E+000, 1.1307779E+001
NaN,NaN,NaN,NaN,NaN, 5.5500000E+000, 9.9823741E+000
NaN,NaN,NaN,NaN,NaN, 5.6500000E+000, 8.7306866E+000
NaN,NaN,NaN,NaN,NaN, 5.7500000E+000, 7.5760158E+000
NaN,NaN,NaN,NaN,NaN, 5.8500000E+000, 6.5265487E+000
NaN,NaN,NaN,NaN,NaN, 5.9500000E+000, 5.6301694E+000
NaN,NaN,NaN,NaN,NaN, 6.0500000E+000, 4.8611056E+000
NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 4.2036915E+000
NaN,NaN,NaN,NaN,NaN, 6.2500000E+000, 3.6381648E+000
NaN,NaN,NaN,NaN,NaN, 6.3500000E+000, 3.1258855E+000
NaN,NaN,NaN,NaN,NaN, 6.4500000E+000, 2.7081109E+000
NaN,NaN,NaN,NaN,NaN, 6.5500000E+000, 2.3509256E+000
NaN,NaN,NaN,NaN,NaN, 6.6500000E+000, 2.0327253E+000
NaN,NaN,NaN,NaN,NaN, 6.7500000E+000, 1.7429187E+000
NaN,NaN,NaN,NaN,NaN, 6.8500000E+000, 1.4799309E+000
NaN,NaN,NaN,NaN,NaN, 6.9500000E+000, 1.2561666E+000
NaN,NaN,NaN,NaN,NaN, 7.0500000E+000, 1.0618448E+000
NaN,NaN,NaN,NaN,NaN, 7.1500000E+000, 8.8693078E-001
NaN,NaN,NaN,NaN,NaN, 7.2500000E+000, 7.3356410E-001
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 6.0133211E-001
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 4.9119607E-001
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 4.0261175E-001
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 3.2911955E-001
