m,kW
z_HRRPUL,HRRPUL
 1.0000000E-001, 6.0792330E+003
 3.0000000E-001, 6.8716413E+003
 5.0000000E-001, 4.4163806E+003
 7.0000000E-001, 3.3413156E+003
 9.0000000E-001, 2.7821482E+003
 1.1000000E+000, 2.5076621E+003
 1.3000000E+000, 2.3341797E+003
 1.5000000E+000, 2.2058345E+003
 1.7000000E+000, 2.0990427E+003
 1.9000000E+000, 2.0058213E+003
 2.1000000E+000, 1.9129193E+003
 2.3000000E+000, 1.8122552E+003
 2.5000000E+000, 1.7062831E+003
 2.7000000E+000, 1.5979429E+003
 2.9000000E+000, 1.4955761E+003
 3.1000000E+000, 1.3980059E+003
 3.3000000E+000, 1.2926495E+003
 3.5000000E+000, 1.1869170E+003
 3.7000000E+000, 1.0934537E+003
 3.9000000E+000, 1.0036475E+003
 4.1000000E+000, 9.2322914E+002
 4.3000000E+000, 8.4183337E+002
 4.5000000E+000, 7.5849267E+002
 4.7000000E+000, 6.7312815E+002
 4.9000000E+000, 5.8815172E+002
 5.1000000E+000, 5.0803770E+002
 5.3000000E+000, 4.3583474E+002
 5.5000000E+000, 3.7124663E+002
 5.7000000E+000, 3.1636054E+002
 5.9000000E+000, 2.6991044E+002
 6.1000000E+000, 2.2944237E+002
 6.3000000E+000, 1.9413905E+002
 6.5000000E+000, 1.6345578E+002
 6.7000000E+000, 1.3724127E+002
 6.9000000E+000, 1.1512073E+002
 7.1000000E+000, 9.7246402E+001
 7.3000000E+000, 8.1601492E+001
 7.5000000E+000, 6.7033686E+001
 7.7000000E+000, 5.3910410E+001
 7.9000000E+000, 4.3378828E+001
 8.1000000E+000, 3.4567037E+001
 8.3000000E+000, 2.7723882E+001
 8.5000000E+000, 2.1974080E+001
 8.7000000E+000, 1.7959926E+001
 8.9000000E+000, 1.0809763E+001
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
