s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,m,m,deg,deg,m,m,m,m,deg,deg
Time,R1-1,R2-1,R3-1,R4-1,R5-1,R6-1,R7-1,R8-1,R9-1,R10-1,R11-1,R12-1,R13-1,R14-1,R15-1,R16-1,R17-1,R18-1,R19-1,R20-1,R21-1,R22-1,R23-1,R24-1,R25-1,R26-1,R27-1,R28-1,R29-1,R30-1,R31-1,R32-1,R33-1,R34-1,R35-1,R36-1,R37-1,R38-1,R39-1,R40-1,R1-2,R2-2,R3-2,R4-2,R5-2,R6-2,R7-2,R8-2,R9-2,R10-2,R11-2,R12-2,R13-2,R14-2,R15-2,R16-2,R17-2,R18-2,R19-2,R20-2,R21-2,R22-2,R23-2,R24-2,R25-2,R26-2,R27-2,R28-2,R29-2,R30-2,R31-2,R32-2,R33-2,R34-2,R35-2,R36-2,R37-2,R38-2,R39-2,R40-2,x_max_1,y_max_1,L_F_s_1,L_F_w_1,tilt_s_1,tilt_w_1,x_max_2,y_max_2,L_F_s_2,L_F_w_2,tilt_s_2,tilt_w_2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0033446E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003747E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7791150E-003, 3.4353059E-003, 0.0000000E+000, 0.0000000E+000,-9.0000346E+001,-9.0000346E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5001141E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7991346E+000,-2.0823918E-001, 1.8914784E+001, 1.8786892E+001, 7.2130448E+000,-9.0404408E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0003664E+001, 3.3433912E+000, 4.7401185E+000, 7.1669952E+000, 9.0615728E+000, 1.1225368E+001, 4.3558152E+000, 5.1116533E+000, 7.3348458E+000, 8.9339636E+000, 1.0987510E+001, 3.6086164E+000, 5.2639128E+000, 7.9363768E+000, 1.0030957E+001, 1.2425687E+001, 3.7054921E+000, 5.3782428E+000, 7.5817266E+000, 9.2588814E+000, 1.1748976E+001, 3.5732004E+000, 5.1793122E+000, 9.1315986E+000, 1.1267734E+001, 7.3161271E+000, 3.3864467E+000, 4.6672462E+000, 6.6719354E+000, 8.0834520E+000, 9.8031859E+000, 2.9250118E+000, 4.3447289E+000, 6.2798596E+000, 7.9582226E+000, 9.7408596E+000, 3.3749765E+000, 4.5948241E+000, 6.4787608E+000, 8.0989319E+000, 9.4448143E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4473200E+000,-2.4285742E-001, 1.9578590E+001, 1.9469021E+001, 6.5369265E+000,-9.4385218E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5002547E+001, 3.4261820E+000, 5.0156908E+000, 7.6057075E+000, 9.6731724E+000, 1.2047396E+001, 3.9227681E+000, 5.2752930E+000, 7.5574272E+000, 9.2959556E+000, 1.1877632E+001, 4.0351733E+000, 5.7569146E+000, 8.6295694E+000, 1.0864787E+001, 1.3339749E+001, 3.7372122E+000, 5.4023949E+000, 7.7141735E+000, 9.4661324E+000, 1.2180440E+001, 3.7385317E+000, 5.3372389E+000, 9.7049420E+000, 1.1861017E+001, 7.7635938E+000, 3.3261217E+000, 4.5715780E+000, 6.5692277E+000, 8.0837199E+000, 1.0284728E+001, 3.1114466E+000, 4.5582434E+000, 6.5495739E+000, 8.4158791E+000, 1.0354651E+001, 3.1651271E+000, 4.5453007E+000, 6.3681981E+000, 8.0258122E+000, 1.0108012E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9375383E+000,-3.8757461E-001, 1.9803367E+001, 1.9681126E+001, 6.9653789E+000,-1.1482690E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0002392E+001, 3.5755048E+000, 5.1789016E+000, 7.8235563E+000, 9.9435685E+000, 1.2382321E+001, 4.0603395E+000, 5.4344609E+000, 7.7885143E+000, 9.5790489E+000, 1.2242276E+001, 4.2194601E+000, 6.0097718E+000, 8.9593640E+000, 1.1244504E+001, 1.3783706E+001, 3.8158370E+000, 5.5035467E+000, 7.8485238E+000, 9.6212289E+000, 1.2401849E+001, 3.8278783E+000, 5.3833185E+000, 9.6914627E+000, 1.1858795E+001, 7.7630657E+000, 3.3358653E+000, 4.5836519E+000, 6.5771198E+000, 8.0835125E+000, 1.0295527E+001, 3.1831124E+000, 4.6710224E+000, 6.7002754E+000, 8.5816150E+000, 1.0530230E+001, 3.2483869E+000, 4.6547862E+000, 6.5090000E+000, 8.1919882E+000, 1.0312984E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0314599E+000, 1.0897322E-001, 2.0031450E+001, 1.9884005E+001, 7.2738783E+000,-7.5146452E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5000042E+001, 3.5251748E+000, 5.1567612E+000, 7.8675147E+000, 1.0038566E+001, 1.2527431E+001, 4.0920297E+000, 5.4694005E+000, 7.8396134E+000, 9.6440955E+000, 1.2327720E+001, 4.1943619E+000, 5.9925779E+000, 8.9489896E+000, 1.1234598E+001, 1.3776039E+001, 3.7977750E+000, 5.4738174E+000, 7.8014763E+000, 9.5578795E+000, 1.2333756E+001, 3.8555281E+000, 5.4178307E+000, 9.6584631E+000, 1.1773467E+001, 7.7689342E+000, 3.3382932E+000, 4.5824612E+000, 6.5625719E+000, 8.0556993E+000, 1.0254294E+001, 3.1899743E+000, 4.6948536E+000, 6.7328965E+000, 8.6148002E+000, 1.0552381E+001, 3.2938935E+000, 4.7179097E+000, 6.5952738E+000, 8.2889907E+000, 1.0422268E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9881263E+000, 2.7029340E-001, 2.0173383E+001, 2.0017961E+001, 7.4242938E+000,-3.8111440E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0002225E+001, 3.5754550E+000, 5.2350822E+000, 8.0253136E+000, 1.0276667E+001, 1.2869437E+001, 4.1687285E+000, 5.6045742E+000, 8.0770007E+000, 9.9650094E+000, 1.2730057E+001, 4.3662052E+000, 6.1947546E+000, 9.2260937E+000, 1.1593601E+001, 1.4241439E+001, 3.8711461E+000, 5.6070912E+000, 8.0357703E+000, 9.8758968E+000, 1.2746092E+001, 3.9118263E+000, 5.5054359E+000, 9.8761523E+000, 1.2071428E+001, 7.9235869E+000, 3.3898578E+000, 4.6666889E+000, 6.7079037E+000, 8.2522652E+000, 1.0497609E+001, 3.3104899E+000, 4.8252601E+000, 6.8845769E+000, 8.7987069E+000, 1.0783620E+001, 3.3334867E+000, 4.7891207E+000, 6.7189561E+000, 8.4673336E+000, 1.0642394E+001, 2.7212103E+000, 3.7426124E+000, 5.6396378E+000, 7.1392664E+000, 8.8089649E+000, 3.6213688E+000, 4.3144454E+000, 5.9103973E+000, 6.9605244E+000, 8.8162361E+000, 3.9543890E+000, 5.4207470E+000, 7.0775517E+000, 8.2412208E+000, 9.7504474E+000, 3.1738922E+000, 4.4291065E+000, 6.1663993E+000, 7.3576027E+000, 9.6189181E+000, 2.9176071E+000, 4.1285914E+000, 7.5099590E+000, 9.0531951E+000, 6.0575296E+000, 2.4934349E+000, 3.5101204E+000, 4.9088987E+000, 5.9358516E+000, 8.0637055E+000, 2.5390025E+000, 3.7854443E+000, 5.2081557E+000, 6.5165046E+000, 7.7726891E+000, 2.4509509E+000, 3.4415447E+000, 4.8213728E+000, 5.9307911E+000, 7.6803369E+000, 2.4806549E+000,-5.4420232E-001, 1.9932306E+001, 1.9764639E+001, 7.8490338E+000,-6.8592863E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
