s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,m,m,deg,deg,m,m,m,m,deg,deg
Time,R1-1,R2-1,R3-1,R4-1,R5-1,R6-1,R7-1,R8-1,R9-1,R10-1,R11-1,R12-1,R13-1,R14-1,R15-1,R16-1,R17-1,R18-1,R19-1,R20-1,R21-1,R22-1,R23-1,R24-1,R25-1,R26-1,R27-1,R28-1,R29-1,R30-1,R31-1,R32-1,R33-1,R34-1,R35-1,R36-1,R37-1,R38-1,R39-1,R40-1,R1-2,R2-2,R3-2,R4-2,R5-2,R6-2,R7-2,R8-2,R9-2,R10-2,R11-2,R12-2,R13-2,R14-2,R15-2,R16-2,R17-2,R18-2,R19-2,R20-2,R21-2,R22-2,R23-2,R24-2,R25-2,R26-2,R27-2,R28-2,R29-2,R30-2,R31-2,R32-2,R33-2,R34-2,R35-2,R36-2,R37-2,R38-2,R39-2,R40-2,x_max_1,y_max_1,L_F_s_1,L_F_w_1,tilt_s_1,tilt_w_1,x_max_2,y_max_2,L_F_s_2,L_F_w_2,tilt_s_2,tilt_w_2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0010737E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003317E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9071927E-002, 4.3123815E-002, 0.0000000E+000, 0.0000000E+000,-9.0000346E+001, 9.0000346E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5003377E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2114634E+000, 9.1296768E+000, 1.0404765E+001, 1.0392811E+001, 3.3168539E+001,-3.2954726E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0004764E+001, 4.7129268E+000, 7.3544447E+000, 1.2597813E+001, 1.7611343E+001, 2.4111293E+001, 7.0627924E+000, 1.0584756E+001, 1.8854155E+001, 2.6782131E+001, 3.7442495E+001, 4.1105288E+000, 6.2698377E+000, 1.0597620E+001, 1.4460204E+001, 1.9128954E+001, 2.9600282E+000, 4.3731889E+000, 6.6046602E+000, 8.2071178E+000, 1.0048732E+001, 2.4942756E+000, 3.4482005E+000, 6.0445981E+000, 7.6927447E+000, 4.7110590E+000, 2.2999244E+000, 3.2097468E+000, 4.5142296E+000, 5.1780024E+000, 6.6114888E+000, 2.4924194E+000, 3.3615744E+000, 4.8240199E+000, 5.8759224E+000, 7.5723165E+000, 3.0299363E+000, 4.5964615E+000, 6.9692159E+000, 9.0261922E+000, 1.0406953E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3029568E+000, 9.2597016E+000, 1.0440473E+001, 1.0428187E+001, 3.3358128E+001,-3.3186635E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5000259E+001, 4.8981065E+000, 7.5101836E+000, 1.3214723E+001, 1.8506063E+001, 2.5032638E+001, 6.4808975E+000, 9.3538014E+000, 1.6780528E+001, 2.4052718E+001, 3.5714897E+001, 3.9174907E+000, 5.8943672E+000, 9.8567909E+000, 1.3456545E+001, 1.7894078E+001, 2.5489414E+000, 3.7835963E+000, 5.7370723E+000, 7.2068259E+000, 9.4959638E+000, 2.2109490E+000, 3.0738966E+000, 5.4679828E+000, 7.0293806E+000, 4.2007862E+000, 1.9965774E+000, 2.7470687E+000, 4.0604979E+000, 4.6447377E+000, 6.3932717E+000, 2.2561344E+000, 3.2340510E+000, 4.7694971E+000, 5.7473317E+000, 7.3534453E+000, 2.7439371E+000, 4.1067775E+000, 6.4281038E+000, 8.4668861E+000, 1.0735073E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5252604E+000, 9.2149947E+000, 1.0645623E+001, 1.0705210E+001, 3.2608180E+001,-3.3223667E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0001253E+001, 4.9154522E+000, 7.6017180E+000, 1.3438093E+001, 1.8849831E+001, 2.5506195E+001, 6.5970277E+000, 9.5834927E+000, 1.7215596E+001, 2.4696351E+001, 3.6576019E+001, 3.9704964E+000, 5.9795242E+000, 9.9853819E+000, 1.3600555E+001, 1.8032104E+001, 2.5651716E+000, 3.8325758E+000, 5.8178270E+000, 7.3062886E+000, 9.5587023E+000, 2.2022928E+000, 3.0967256E+000, 5.5354966E+000, 7.1074495E+000, 4.2486209E+000, 2.0017522E+000, 2.7937385E+000, 4.1472615E+000, 4.7431603E+000, 6.4693348E+000, 2.2707668E+000, 3.2623524E+000, 4.8068415E+000, 5.8010628E+000, 7.4145589E+000, 2.7583160E+000, 4.1395430E+000, 6.4901614E+000, 8.5507875E+000, 1.0804050E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0444741E+000, 9.0146353E+000, 1.0651636E+001, 1.0688633E+001, 3.2642891E+001,-3.3088413E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5004317E+001, 4.8461196E+000, 7.5226789E+000, 1.3330403E+001, 1.8735790E+001, 2.5422391E+001, 6.5293621E+000, 9.4625320E+000, 1.6981371E+001, 2.4376563E+001, 3.6414966E+001, 3.9340499E+000, 5.9358566E+000, 9.9223620E+000, 1.3527001E+001, 1.7957302E+001, 2.5408699E+000, 3.8161158E+000, 5.7979856E+000, 7.2834501E+000, 9.5416177E+000, 2.1852435E+000, 3.0943755E+000, 5.5439717E+000, 7.1217114E+000, 4.2466181E+000, 1.9761851E+000, 2.7849707E+000, 4.1598937E+000, 4.7455866E+000, 6.4963271E+000, 2.2515177E+000, 3.2620843E+000, 4.8231238E+000, 5.8093623E+000, 7.4260455E+000, 2.7106804E+000, 4.0959692E+000, 6.4638551E+000, 8.5229180E+000, 1.0793972E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8272913E+000, 9.3360264E+000, 1.0734845E+001, 1.0800003E+001, 3.2535345E+001,-3.3196006E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0004417E+001, 4.8675767E+000, 7.5725713E+000, 1.3462322E+001, 1.8952618E+001, 2.5736491E+001, 6.5740387E+000, 9.5749044E+000, 1.7256317E+001, 2.4839034E+001, 3.7110847E+001, 3.9942125E+000, 6.0323725E+000, 1.0104590E+001, 1.3795052E+001, 1.8335116E+001, 2.5733152E+000, 3.8597876E+000, 5.8605188E+000, 7.3636856E+000, 9.6667156E+000, 2.1973058E+000, 3.1148259E+000, 5.5897675E+000, 7.1794343E+000, 4.2830560E+000, 1.9918155E+000, 2.7998061E+000, 4.1748203E+000, 4.7685286E+000, 6.5311921E+000, 2.2653150E+000, 3.2777827E+000, 4.8421644E+000, 5.8366617E+000, 7.4616730E+000, 2.7290378E+000, 4.1240585E+000, 6.4942402E+000, 8.5631493E+000, 1.0858273E+001, 5.0427633E+000, 7.7571594E+000, 1.3693309E+001, 1.9655656E+001, 2.7169369E+001, 6.5260583E+000, 9.7229998E+000, 1.7890528E+001, 2.6763515E+001, 4.2075377E+001, 4.3739831E+000, 6.8015002E+000, 1.1624641E+001, 1.5954239E+001, 2.1534658E+001, 2.9651918E+000, 4.3478324E+000, 6.5706504E+000, 8.4780480E+000, 1.0670429E+001, 2.4967465E+000, 3.5465568E+000, 6.6515759E+000, 8.4416892E+000, 5.1077271E+000, 2.3778169E+000, 3.2718876E+000, 4.6850128E+000, 5.4141605E+000, 7.2482947E+000, 2.5276601E+000, 3.4567927E+000, 5.1650039E+000, 6.4154425E+000, 8.3387591E+000, 2.9965925E+000, 4.4387114E+000, 6.9686530E+000, 9.2048672E+000, 1.1821648E+001, 8.4553517E+000, 8.1871781E+000, 1.0689866E+001, 1.0729625E+001, 3.2268721E+001,-3.2683996E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
