s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-3.0928406E-004,-1.8352915E-004,-4.2135912E-004,-3.0864564E-004,-2.4119337E-004,-2.0728218E-004,-1.5226882E-004,-1.1047635E-004,-1.0060510E-004,-1.3121102E-004, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0004799E+001, 3.0001362E+001, 2.9999976E+001, 2.9999967E+001, 2.9999961E+001, 2.9999975E+001, 3.0001586E+001, 2.9999999E+001, 2.9999982E+001, 2.9999972E+001, 2.9999972E+001, 2.9999978E+001, 3.0001064E+001, 2.9999996E+001, 2.9999988E+001, 2.9999990E+001, 2.9999984E+001, 2.9999980E+001, 1.0092012E-004, 2.7677134E-005, 1.6488879E-004, 9.0027374E-005, 5.0564101E-005, 2.1099225E-005, 1.0866089E-004, 6.3399728E-005, 3.8887228E-005, 1.7878018E-005, 3.0026917E+001, 3.0125600E+001, 3.0694910E+001, 3.1235615E+001, 3.1374158E+001, 3.0070965E+001, 3.0238960E+001, 3.0699983E+001, 3.0965203E+001, 3.1012204E+001
 2.0001163E+001, 3.1097161E+001, 3.0053668E+001, 3.0009235E+001, 3.0007256E+001, 3.0022789E+001, 3.0114154E+001, 3.0025202E+001, 3.0018685E+001, 3.0034282E+001, 3.0078313E+001, 3.0140744E+001, 3.0632215E+001, 3.0572357E+001, 3.0530356E+001, 3.0463202E+001, 3.0529286E+001, 3.0248966E+001, 1.1611426E-002, 8.5486025E-003, 1.7068920E-002, 1.5007276E-002, 1.5173375E-002, 1.8576478E-002, 4.0598111E-002, 3.7408938E-002, 3.3706543E-002, 3.4537911E-002, 4.2180711E+001, 4.4857120E+001, 4.9150894E+001, 5.0748980E+001, 4.9994456E+001, 4.1763686E+001, 4.3858067E+001, 4.6396337E+001, 4.7057597E+001, 4.6350752E+001
 3.0006246E+001, 3.5281590E+001, 3.0115327E+001, 3.0063598E+001, 3.0055566E+001, 3.1080083E+001, 3.4017510E+001, 3.4814828E+001, 3.3434547E+001, 3.2656754E+001, 3.3081953E+001, 3.3907810E+001, 3.4761058E+001, 3.4906275E+001, 3.4969644E+001, 3.4733841E+001, 3.5477691E+001, 3.5664651E+001, 3.7825664E-002, 2.8596980E-002, 3.2821738E-001, 2.7255683E-001, 2.1399977E-001, 1.8255248E-001, 2.2235373E-001, 2.5412209E-001, 2.6879289E-001, 3.0663156E-001, 9.1777439E+001, 9.7529552E+001, 1.0455945E+002, 1.0524558E+002, 1.0329990E+002, 8.0711853E+001, 8.5204974E+001, 8.9027339E+001, 8.7229714E+001, 8.2714795E+001
 4.0002371E+001, 4.3094940E+001, 3.0674585E+001, 3.0709888E+001, 3.0805909E+001, 3.4504441E+001, 4.8135856E+001, 5.5719791E+001, 5.2595621E+001, 4.8701716E+001, 4.6245294E+001, 4.4907562E+001, 5.0952432E+001, 4.9041118E+001, 5.2743784E+001, 5.6266728E+001, 5.9020791E+001, 5.7971246E+001, 9.9411750E-002, 9.2556584E-002, 8.2241600E-001, 7.5078058E-001, 6.6560444E-001, 5.8635227E-001, 5.5739360E-001, 6.5044643E-001, 8.2252587E-001, 9.4247882E-001, 1.3678347E+002, 1.6934907E+002, 1.9211506E+002, 1.9914114E+002, 1.9838958E+002, 1.2970228E+002, 1.4307312E+002, 1.5168214E+002, 1.5089382E+002, 1.4519431E+002
 5.0003652E+001, 5.1177713E+001, 3.1539784E+001, 3.2110756E+001, 3.3000815E+001, 3.9767279E+001, 6.5753691E+001, 7.4232915E+001, 7.2477829E+001, 6.9313763E+001, 6.6276638E+001, 5.9992986E+001, 7.1981552E+001, 6.4898523E+001, 7.0826812E+001, 7.7906475E+001, 8.1884816E+001, 8.1156392E+001, 1.5018518E-001, 1.3177674E-001, 9.2337011E-001, 9.3058777E-001, 9.2110742E-001, 9.1645234E-001, 6.7465160E-001, 7.0159789E-001, 7.8196366E-001, 9.0399090E-001, 1.5474509E+002, 2.1223963E+002, 2.6792714E+002, 2.7363934E+002, 2.7065063E+002, 1.7330143E+002, 2.0588075E+002, 2.2020189E+002, 2.2373611E+002, 2.1899376E+002
 6.0004427E+001, 6.1052492E+001, 3.2914136E+001, 3.3301512E+001, 3.4813970E+001, 4.6184620E+001, 8.5275699E+001, 8.8471870E+001, 9.0492558E+001, 9.0309414E+001, 8.8339996E+001, 7.5415954E+001, 9.0160544E+001, 8.0086154E+001, 8.6230239E+001, 9.2597383E+001, 9.9124934E+001, 9.7596864E+001, 2.6154776E-001, 2.2232185E-001, 1.3420006E+000, 1.3380892E+000, 1.2945726E+000, 1.2199628E+000, 1.0373644E+000, 1.1329038E+000, 1.1924108E+000, 1.4517744E+000, 1.9252703E+002, 2.7180086E+002, 3.2863701E+002, 3.4056698E+002, 3.4231823E+002, 2.1782065E+002, 2.5995126E+002, 2.7472916E+002, 2.8077186E+002, 2.7626408E+002
 7.0000404E+001, 6.9652548E+001, 3.4709079E+001, 3.5437893E+001, 3.7755244E+001, 4.9578359E+001, 1.0610299E+002, 1.0754862E+002, 1.1047650E+002, 1.0940824E+002, 1.0534341E+002, 8.6410417E+001, 1.1279901E+002, 9.5993672E+001, 1.0557065E+002, 1.1363044E+002, 1.2346393E+002, 1.2089897E+002, 2.8775572E-001, 2.2811831E-001, 1.8022022E+000, 1.6893251E+000, 1.5667423E+000, 1.4986804E+000, 1.1346799E+000, 1.2731939E+000, 1.4328318E+000, 1.7161375E+000, 2.4275044E+002, 3.4077161E+002, 3.9515624E+002, 4.0993658E+002, 4.0808503E+002, 2.5049561E+002, 3.0769713E+002, 3.2675279E+002, 3.3247011E+002, 3.2941711E+002
 8.0003748E+001, 8.0603880E+001, 3.5116509E+001, 3.6556435E+001, 3.8222430E+001, 5.3515705E+001, 1.3080269E+002, 1.2591969E+002, 1.2906894E+002, 1.2738761E+002, 1.2457976E+002, 1.0107247E+002, 1.3435847E+002, 1.0966844E+002, 1.2072485E+002, 1.3063832E+002, 1.4345559E+002, 1.4391192E+002, 3.8667063E-001, 2.7244450E-001, 2.3430384E+000, 2.1193879E+000, 2.0175654E+000, 1.8822623E+000, 1.5824829E+000, 1.6651021E+000, 1.7774194E+000, 2.1338820E+000, 3.3006931E+002, 3.9583862E+002, 4.4562692E+002, 4.6107929E+002, 4.6018905E+002, 2.8677456E+002, 3.4485223E+002, 3.6557800E+002, 3.7381726E+002, 3.7164761E+002
 9.0001784E+001, 8.9624278E+001, 3.5717015E+001, 3.7802876E+001, 3.9617463E+001, 5.4373870E+001, 1.5309851E+002, 1.3929001E+002, 1.3863744E+002, 1.3698018E+002, 1.3477491E+002, 1.1288829E+002, 1.5802487E+002, 1.2889256E+002, 1.4147100E+002, 1.5190214E+002, 1.6619142E+002, 1.6224395E+002, 4.9712062E-001, 3.7732806E-001, 2.8119891E+000, 2.5153300E+000, 2.3398294E+000, 2.2699400E+000, 1.8887222E+000, 2.1109372E+000, 2.3025467E+000, 2.8248832E+000, 3.9345002E+002, 4.5052589E+002, 5.0473783E+002, 5.1835378E+002, 5.1641904E+002, 3.0694528E+002, 3.8429441E+002, 4.0674066E+002, 4.1290450E+002, 4.1001051E+002
 1.0000329E+002, 9.5050367E+001, 3.7544671E+001, 4.0761463E+001, 4.3130343E+001, 5.9674000E+001, 1.7086693E+002, 1.5327011E+002, 1.5376986E+002, 1.5316395E+002, 1.4715144E+002, 1.2158779E+002, 1.8189401E+002, 1.4304247E+002, 1.5591109E+002, 1.6672197E+002, 1.8540441E+002, 1.7618760E+002, 6.0739725E-001, 4.7667537E-001, 3.1379522E+000, 2.8471229E+000, 2.6162358E+000, 2.2986666E+000, 2.1296895E+000, 2.2730099E+000, 2.5090248E+000, 2.9493507E+000, 4.2380122E+002, 5.0683846E+002, 5.5795389E+002, 5.7064847E+002, 5.6960330E+002, 3.3085543E+002, 4.0688922E+002, 4.3721939E+002, 4.4195501E+002, 4.3789081E+002
