s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-3.0928406E-004,-1.8352915E-004,-4.2135912E-004,-3.0864564E-004,-2.4119337E-004,-2.0728218E-004,-1.5226882E-004,-1.1047635E-004,-1.0060510E-004,-1.3121102E-004, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0015290E+001, 3.0000656E+001, 2.9999948E+001, 2.9999949E+001, 2.9999949E+001, 2.9999974E+001, 3.0000920E+001, 2.9999962E+001, 2.9999960E+001, 2.9999957E+001, 2.9999964E+001, 2.9999977E+001, 3.0000577E+001, 2.9999969E+001, 2.9999971E+001, 2.9999978E+001, 2.9999978E+001, 2.9999980E+001, 1.9588050E-005,-3.1067951E-006, 4.7979431E-005, 2.1724781E-005, 8.7055403E-006, 9.6597153E-007, 2.5934755E-005, 1.4061459E-005, 7.3330108E-006, 1.7350481E-006, 3.0007469E+001, 3.0039024E+001, 3.0444366E+001, 3.0807900E+001, 3.0898645E+001, 3.0010987E+001, 3.0091812E+001, 3.0387709E+001, 3.0579599E+001, 3.0626246E+001
 2.0011237E+001, 3.0619205E+001, 3.0112273E+001, 3.0143288E+001, 3.0014583E+001, 3.0000987E+001, 3.0065735E+001, 3.0028176E+001, 3.0043646E+001, 3.0042758E+001, 3.0022202E+001, 3.0024690E+001, 3.0415249E+001, 3.0042793E+001, 3.0025423E+001, 3.0036715E+001, 3.0121992E+001, 3.0053940E+001, 9.4367634E-003, 5.6147767E-003, 1.1498054E-002, 1.2946193E-002, 1.2794869E-002, 1.0001849E-002, 1.2359754E-002, 9.1489772E-003, 8.7484619E-003, 1.1240459E-002, 3.7808374E+001, 3.9583428E+001, 4.2763820E+001, 4.4069137E+001, 4.3686421E+001, 3.6390285E+001, 3.8616156E+001, 4.1127491E+001, 4.1638736E+001, 4.1246182E+001
 3.0001082E+001, 3.4023710E+001, 3.0279734E+001, 3.0643738E+001, 3.0434413E+001, 3.0651429E+001, 3.2137535E+001, 3.4051344E+001, 3.3774540E+001, 3.3890103E+001, 3.3658496E+001, 3.3084297E+001, 3.2621482E+001, 3.2448719E+001, 3.2574627E+001, 3.3011203E+001, 3.3286056E+001, 3.3673256E+001, 2.4585765E-002, 2.4472932E-002, 1.8635587E-001, 1.6966545E-001, 1.7130204E-001, 1.7500054E-001, 1.2456874E-001, 1.2893905E-001, 1.4726956E-001, 1.6533730E-001, 7.1474162E+001, 7.6796073E+001, 8.2435375E+001, 8.2106896E+001, 7.9107286E+001, 6.6006513E+001, 7.1142963E+001, 7.5860876E+001, 7.5216529E+001, 7.2274053E+001
 4.0003870E+001, 4.0718815E+001, 3.1710415E+001, 3.2081692E+001, 3.2049041E+001, 3.2672271E+001, 4.9061956E+001, 4.8684248E+001, 4.8441139E+001, 4.8554020E+001, 4.7789903E+001, 4.3590441E+001, 4.3926837E+001, 4.5648080E+001, 4.8056067E+001, 5.0138940E+001, 5.2141082E+001, 5.1290297E+001, 9.0691787E-002, 8.0637935E-002, 5.7779222E-001, 6.0225506E-001, 6.1518888E-001, 6.0017026E-001, 5.1339264E-001, 5.7546333E-001, 6.3780687E-001, 7.5732379E-001, 1.2844106E+002, 1.3798646E+002, 1.4764406E+002, 1.4806614E+002, 1.4325120E+002, 1.0576334E+002, 1.1755578E+002, 1.2545925E+002, 1.2544028E+002, 1.2210397E+002
 5.0001110E+001, 4.6388515E+001, 3.4031934E+001, 3.4604392E+001, 3.4492107E+001, 3.5968238E+001, 7.2079794E+001, 7.5523166E+001, 7.5128307E+001, 7.4722267E+001, 7.1032473E+001, 5.7188213E+001, 6.7647708E+001, 6.9537508E+001, 7.5377986E+001, 7.9202735E+001, 8.2935578E+001, 7.4683549E+001, 1.4668640E-001, 1.2952152E-001, 1.1320039E+000, 1.1282508E+000, 1.1164737E+000, 1.0249626E+000, 8.0837926E-001, 9.1794342E-001, 1.0286323E+000, 1.2146668E+000, 1.4444885E+002, 1.8118812E+002, 2.1123823E+002, 2.0671295E+002, 2.0283527E+002, 1.3707452E+002, 1.6842573E+002, 1.8121060E+002, 1.8034440E+002, 1.7575250E+002
 6.0000388E+001, 5.9153589E+001, 3.9551380E+001, 4.1550753E+001, 4.1625825E+001, 4.4141455E+001, 9.5078402E+001, 1.0867448E+002, 1.0868925E+002, 1.0576918E+002, 9.8427407E+001, 7.5847751E+001, 9.5827162E+001, 8.7730838E+001, 9.7086301E+001, 1.0392126E+002, 1.0956229E+002, 1.0108642E+002, 5.2647677E-001, 4.7066565E-001, 2.3306385E+000, 2.2634404E+000, 2.1309137E+000, 2.0168397E+000, 1.4171732E+000, 1.5455832E+000, 1.7283395E+000, 1.9525095E+000, 2.0263499E+002, 2.4990585E+002, 2.8341549E+002, 2.8575136E+002, 2.8327463E+002, 2.1212248E+002, 2.5170274E+002, 2.7145476E+002, 2.7178408E+002, 2.6338402E+002
 7.0000860E+001, 9.8628682E+001, 4.8745200E+001, 5.1889502E+001, 5.2933097E+001, 6.1671211E+001, 1.6455449E+002, 1.7065265E+002, 1.7241571E+002, 1.7077616E+002, 1.6560375E+002, 1.2055150E+002, 1.6150121E+002, 1.3129946E+002, 1.4534317E+002, 1.5732324E+002, 1.6636571E+002, 1.4874548E+002, 1.6902900E+000, 1.0969506E+000, 5.8515442E+000, 5.3803691E+000, 5.0438176E+000, 4.6247309E+000, 3.3273188E+000, 3.3691877E+000, 3.5011537E+000, 3.7403992E+000, 4.9248979E+002, 5.3859295E+002, 5.6899964E+002, 5.7048143E+002, 5.6495084E+002, 3.7867483E+002, 4.7373235E+002, 5.2654254E+002, 5.3255410E+002, 5.2297927E+002
 8.0002309E+001, 1.6175066E+002, 5.4867845E+001, 5.6280888E+001, 5.8093712E+001, 7.4197357E+001, 2.3651717E+002, 2.0080829E+002, 2.0300163E+002, 2.0318290E+002, 1.9889669E+002, 1.5396752E+002, 2.3888709E+002, 1.6068087E+002, 1.7703397E+002, 1.8861164E+002, 1.9695244E+002, 1.7253172E+002, 2.6172296E+000, 1.5730924E+000, 6.5391360E+000, 5.7192454E+000, 5.1300623E+000, 4.4748145E+000, 3.4256761E+000, 3.5240271E+000, 3.6648582E+000, 3.8331494E+000, 6.7847480E+002, 7.0556117E+002, 7.2978191E+002, 7.2663523E+002, 7.1571063E+002, 4.8356128E+002, 6.1223439E+002, 6.6428540E+002, 6.7174325E+002, 6.6168150E+002
 9.0000940E+001, 2.4542175E+002, 6.2420189E+001, 6.0161950E+001, 6.2951456E+001, 8.8405977E+001, 3.3396073E+002, 2.5387401E+002, 2.5281102E+002, 2.4824640E+002, 2.4097400E+002, 1.7862447E+002, 3.1134590E+002, 1.8162359E+002, 2.0114961E+002, 2.1597424E+002, 2.2749755E+002, 2.0382719E+002, 4.4449688E+000, 2.3583287E+000, 1.0820434E+001, 9.3755379E+000, 8.2844076E+000, 6.9562851E+000, 4.7295044E+000, 4.8089298E+000, 4.9489565E+000, 5.2156390E+000, 7.3936055E+002, 7.6491078E+002, 7.8977418E+002, 7.9042110E+002, 7.7967900E+002, 5.7425749E+002, 6.7450827E+002, 7.2208113E+002, 7.3224083E+002, 7.2666234E+002
 1.0000016E+002, 3.1010158E+002, 7.5659767E+001, 7.2470904E+001, 7.4736352E+001, 9.7632136E+001, 4.0330349E+002, 2.9690468E+002, 2.9507450E+002, 2.9030947E+002, 2.7569668E+002, 1.9881708E+002, 3.7525072E+002, 2.0020748E+002, 2.1952500E+002, 2.3355669E+002, 2.4828822E+002, 2.2790112E+002, 5.5443606E+000, 3.2513225E+000, 1.0870912E+001, 9.2041410E+000, 8.0361699E+000, 6.7105406E+000, 4.8760536E+000, 4.8499350E+000, 4.8243584E+000, 4.8074291E+000, 7.7188756E+002, 7.9751667E+002, 8.2773209E+002, 8.3157440E+002, 8.2165062E+002, 6.2167971E+002, 6.9809201E+002, 7.6150379E+002, 7.7364158E+002, 7.6964018E+002
